NUMLINK,ResourceID,External_Identifier_Type,NMRW_External_Xref,External_Source
6005510,415,LB2,23314,Cadw
6052891,417,SAM,GM046,Cadw
6030026,425,LB1,11117,Cadw
6030026,425,GAM,CM029,Cadw
6046882,433,PRN,03379g,Glamorgan-Gwent Historic Environment Record
6046882,433,GAM,MM200,Cadw
6032092,467,LB2,10969,Cadw
6007417,470,LB2,3563,Cadw
6007425,471,LB2*,3565,Cadw
6027935,489,LB2,80856,Cadw
6032138,499,LB2,82911,Cadw
6028950,516,LB2,10239,Cadw
6005283,525,LB2,15942,Cadw
6007523,527,LB1,5528,Cadw
6007523,527,SAM,AN064,Cadw
6061118,532,LB2,15671,Cadw
6061119,533,LB2,15670,Cadw
6050212,542,LB1,1919,Cadw
6062503,543,SAM,MM274,Cadw
6049509,545,LB2,22986,Cadw
6035164,546,SAM,GM558,Cadw
6035175,547,SAM,GM562,Cadw
6034847,551,SAM,BR210,Cadw
6018198,563,LB2,14557,Cadw
6010794,564,LB2,15673,Cadw
6006920,570,PRN,21947,Gwynedd Historic Environment Record
6006920,570,SAM,CN297,Cadw
6051567,592,LB2,23521,Cadw
6062037,602,LB2,18274,Cadw
6062034,603,LB2,21460,Cadw
6051566,615,LB2*,2318,Cadw
6017868,634,LB2,15215,Cadw
6029386,688,SAM,GM497,Cadw
6053670,699,LB2,11728,Cadw
6053624,703,LB2,11582,Cadw
6029388,704,SAM,GM497,Cadw
6029389,705,SAM,GM497,Cadw
6032863,743,PRN,5491,Dyfed Historic Environment Record
6032863,743,LB2,9867,Cadw
6037421,752,LB2*,16200,Cadw
6005865,779,PRN,4872,Gwynedd Historic Environment Record
6005021,1008,PRN,33609,Gwynedd Historic Environment Record
6026606,3009,LB2,9574,Cadw
6012787,3010,LB2*,951,Cadw
6012789,3011,LB2,16175,Cadw
6012829,3013,LB2,16173,Cadw
6012830,3014,LB2,16177,Cadw
6028266,3017,LB2*,17797,Cadw
6027159,3024,LB1,10715,Cadw
6003867,3029,LB2,4841,Cadw
6032147,3038,LB2,10984,Cadw
6024239,3041,LB2*,10556,Cadw
6028202,3042,LB2*,18374,Cadw
6009068,3045,LB2,17710,Cadw
6008025,3048,LB2,4739,Cadw
6024326,3049,LB2,10550,Cadw
6018607,3056,LB2,15739,Cadw
6032788,3073,LB2,19379,Cadw
6046112,3078,LB2,18537,Cadw
6028408,3079,LB2,17429,Cadw
6058828,4103,LB2,72,Cadw
6028943,5003,LB2,10410,Cadw
6028278,5014,LB2,9915,Cadw
6027164,5020,LB2*,9942,Cadw
6027314,5032,LB2,9931,Cadw
6027312,5034,LB2,9933,Cadw
