NUMLINK,ResourceID,OSGB_Grid_Reference,Geometry
710260,710260,SJ3735865310,POINT (-2.9387864 53.181185)
710261,710261,SS6743992779,POINT (-3.916128 51.618179)
710262,710262,SS6599592984,POINT (-3.9370511 51.619679)
710263,710263,SS6473494649,POINT (-3.955898 51.634339)
710264,710264,SS6606495869,POINT (-3.9371596 51.64562)
710265,710265,SO2614306292,POINT (-3.0712849 51.750434)
710266,710266,ST2040775225,POINT (-3.1472943 51.470371)
710267,710267,SS6053987360,POINT (-4.0135727 51.567817)
710268,710268,SS6531094720,POINT (-3.9476077 51.635115)
710269,710269,SS6866393205,POINT (-3.8986187 51.622294)
710270,710270,SS7613689899,POINT (-3.7895573 51.59428)
710271,710271,SS7745185711,POINT (-3.7691207 51.55693)
710272,710272,SS8159979175,POINT (-3.7071172 51.499075)
710273,710273,SS9013382117,POINT (-3.5851439 51.527242)
710274,710274,SS9048990705,POINT (-3.5826929 51.6045)
710275,710275,SS9325191307,POINT (-3.54301 51.610441)
710276,710276,SS8618589908,POINT (-3.6445551 51.596482)
710277,710277,SS7752686359,POINT (-3.7682653 51.56277)
710278,710278,SS8608996235,POINT (-3.6480001 51.653327)
710279,710279,SS9198798818,POINT (-3.563578 51.677708)
710280,710280,SN7252404137,POINT (-3.8468694 51.721424)
710281,710281,SS6615495632,POINT (-3.9357689 51.643512)
710282,710282,SS5468095987,POINT (-4.1016257 51.643852)
710283,710283,SM8993106121,POINT (-5.0423041 51.714379)
710284,710284,SH2478881936,POINT (-4.6310364 53.305308)
710285,710285,SH5634871825,POINT (-4.1532231 53.223992)
710286,710286,SH5630571518,POINT (-4.1537283 53.221222)
710287,710287,SH6095916178,POINT (-4.0602793 52.725324)
710288,710288,SH6112816045,POINT (-4.0577224 52.724173)
710289,710289,SN9583984730,POINT (-3.5341287 52.450564)
710290,710290,SO1704007747,POINT (-3.203468 51.762237)
710291,710291,SO1649410312,POINT (-3.2119951 51.785212)
710292,710292,SO1635211883,POINT (-3.2144326 51.799313)
710293,710293,SO0611108757,POINT (-3.3620538 51.769587)
710294,710294,SJ0809174303,POINT (-3.3791949 53.257742)
710295,710295,SJ1693345301,POINT (-3.2391647 52.998565)
710296,710296,SJ1548181029,POINT (-3.2702404 53.319415)
710297,710297,SJ2209375112,POINT (-3.1695525 53.267256)
710298,710298,SJ3029852450,POINT (-3.0416102 53.064726)
710299,710299,SJ3545257242,POINT (-2.9656737 53.108444)
710300,710300,SJ3600257479,POINT (-2.9575064 53.110641)
710301,710301,SJ3382867468,POINT (-2.9920461 53.200152)
710302,710302,SJ3750965102,POINT (-2.9364866 53.179333)
710303,710303,SJ2896546340,POINT (-3.0601506 53.009636)
710304,710304,ST2996597364,POINT (-3.0141324 51.670665)
710305,710305,ST2244291193,POINT (-3.1215267 51.614201)
710306,710306,ST2257691223,POINT (-3.1195985 51.614489)
710307,710307,SO2706200441,POINT (-3.0567474 51.697956)
710308,710308,ST1728775851,POINT (-3.1923495 51.47555)
710309,710309,ST1538779200,POINT (-3.2205043 51.505374)
710310,710310,ST0877488009,POINT (-3.3180455 51.583528)
710311,710311,ST1141985993,POINT (-3.279372 51.565829)
710312,710312,ST0489282907,POINT (-3.3726749 51.537025)
710313,710313,ST1769377927,POINT (-3.1869896 51.494272)
710314,710314,ST1996575879,POINT (-3.1538047 51.476187)
710315,710315,ST2640287319,POINT (-3.0635314 51.579907)
710316,710316,SS7732788653,POINT (-3.7719365 51.583343)
710317,710317,SS7682387625,POINT (-3.7788461 51.573994)
710318,710318,SS7723987428,POINT (-3.7727773 51.572314)
710319,710319,SS7745185711,POINT (-3.7691207 51.55693)
710320,710320,SS7754785538,POINT (-3.7676763 51.555396)
710321,710321,SS8933484588,POINT (-3.5974344 51.549295)
710322,710322,SO1636211956,POINT (-3.2143052 51.79997)
710323,710323,SJ0812143404,POINT (-3.3698866 52.980077)
710324,710324,SJ3016970062,POINT (-3.0473799 53.222996)
710326,710326,SS7477995265,POINT (-3.8110565 51.642202)
710327,710327,ST2118498051,POINT (-3.1412388 51.675676)
710329,710329,SH5776771676,POINT (-4.1319176 53.223035)
710330,710330,SN5835882255,POINT (-4.0842574 52.419891)
710335,710335,SS7724988711,POINT (-3.773082 51.583847)
710336,710336,ST1803089336,POINT (-3.184798 51.596882)
