ResourceID,Associated_Monuments,NPRN,Community,Description,Description_Type,ENTER_BY,ENTRYDATE,External_Identifier_Type,External_Source,Geometry,KMSQ,LASTUPDATE,Location_Accuracy,Mapsheet,Name_Type,NMRW_Cultural_Period,NMRW_Evidence,NMRW_External_XRef,NMRW_Heritage_Resource_Type,NMRW_Name,NMRW_RCAHMW_Class,Notes,Old_County,OSGB_Grid_Reference,Possible_Evidence,Possible_Period,Possible_RCCLASS,Possible_Type,Preference_Type,Preferred_Period,Relationship_type,Type Note,Unitary_Authority,UPD_BY,ResourceID
705036,,705036,Rhayader,Industrial Estate on the Eastern edge of Rhayader,English Description,MP,19/01/1996,,,POINT (-3.5024384 52.302351),SN9768,19/01/1996,Grid reference taken at a central point within extensive site or complex,SN96NE,No preference,20th Century,Documents,,INDUSTRIAL ESTATE,"Brynberth Enterprise Park, Rhayader",,,Radnorshire,SN9765068200,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Radnorshire,MP,705036
705037,,705037,Llanelli Rural,Industrial Estate SE of Llanelli,English Description,MP,,,,POINT (-4.0951988 51.667465),SS5598,,Grid reference taken at a central point within extensive site or complex,SS59NE,No preference,20th Century,Documents,,INDUSTRIAL ESTATE,"Bynea Business Park, Llanelli",,,Carmarthenshire,SS5520098600,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Carmarthenshire,MP,705037
705038,,705038,St Bride's Minor (Bridgend),"Industrial Estate s of Brynmenyn, Bridgend",English Description,MP,,,,POINT (-3.57773 51.54922),SS9084,,Grid reference taken at a central point within extensive site or complex,SS98SW,No preference,20th Century,Documents,,INDUSTRIAL ESTATE,"Brynmenyn Industrial Estate, Bridgend",,,Glamorgan,SS9070084550,Not Applicable,Not Applicable,Not Applicable,Not Applicable,No Preference,No Preference,,,Glamorgan,MP,705038
