NUMLINK,ResourceID,External_Identifier_Type,NMRW_External_Xref,External_Source
,240752,UKHO ID,12336,UK Hydrographic Office
,240871,UKHO ID,12327,UK Hydrographic Office
,273652,UKHO ID,12325,UK Hydrographic Office
,273670,UKHO ID,12324,UK Hydrographic Office
,240324,UKHO ID,12321,UK Hydrographic Office
,273213,UKHO ID,12318,UK Hydrographic Office
,272618,UKHO ID,12310,UK Hydrographic Office
,273151,UKHO ID,12309,UK Hydrographic Office
,240869,UKHO ID,12306,UK Hydrographic Office
,240867,UKHO ID,12304,UK Hydrographic Office
,274212,UKHO ID,12299,UK Hydrographic Office
,274271,UKHO ID,12284,UK Hydrographic Office
,240632,UKHO ID,12283,UK Hydrographic Office
,240633,UKHO ID,12281,UK Hydrographic Office
,516033,UKHO ID,12280,UK Hydrographic Office
,273254,UKHO ID,12276,UK Hydrographic Office
,274671,UKHO ID,12275,UK Hydrographic Office
,506336,UKHO ID,12274,UK Hydrographic Office
,240117,UKHO ID,12272,UK Hydrographic Office
,240636,UKHO ID,12264,UK Hydrographic Office
,240005,UKHO ID,12183,UK Hydrographic Office
,273059,UKHO ID,12172,UK Hydrographic Office
,506378,UKHO ID,12171,UK Hydrographic Office
,411,UKHO ID,12170,UK Hydrographic Office
,273150,UKHO ID,12164,UK Hydrographic Office
,506476,UKHO ID,12163,UK Hydrographic Office
,506475,UKHO ID,12162,UK Hydrographic Office
,518429,UKHO ID,12161,UK Hydrographic Office
,506489,UKHO ID,12160,UK Hydrographic Office
,273146,UKHO ID,12159,UK Hydrographic Office
,273056,UKHO ID,12158,UK Hydrographic Office
,273259,UKHO ID,12156,UK Hydrographic Office
,507031,UKHO ID,12154,UK Hydrographic Office
,507140,UKHO ID,12153,UK Hydrographic Office
,273399,UKHO ID,12152,UK Hydrographic Office
,506474,UKHO ID,12151,UK Hydrographic Office
,506383,UKHO ID,12150,UK Hydrographic Office
,506473,UKHO ID,12149,UK Hydrographic Office
,506382,UKHO ID,12148,UK Hydrographic Office
,519178,UKHO ID,12146,UK Hydrographic Office
,519179,UKHO ID,12145,UK Hydrographic Office
,506367,UKHO ID,12143,UK Hydrographic Office
,518289,UKHO ID,12142,UK Hydrographic Office
,519174,UKHO ID,12141,UK Hydrographic Office
,525233,UKHO ID,12140,UK Hydrographic Office
,516031,UKHO ID,12139,UK Hydrographic Office
,506486,UKHO ID,12132,UK Hydrographic Office
,518425,UKHO ID,12128,UK Hydrographic Office
,518427,UKHO ID,12125,UK Hydrographic Office
,240094,UKHO ID,12124,UK Hydrographic Office
,273047,UKHO ID,12123,UK Hydrographic Office
,273074,UKHO ID,12121,UK Hydrographic Office
,506523,UKHO ID,12116,UK Hydrographic Office
,272977,UKHO ID,12113,UK Hydrographic Office
,272921,UKHO ID,12112,UK Hydrographic Office
,273021,UKHO ID,12109,UK Hydrographic Office
,506481,UKHO ID,12108,UK Hydrographic Office
,506483,UKHO ID,12106,UK Hydrographic Office
,273147,UKHO ID,12105,UK Hydrographic Office
,273149,UKHO ID,12100,UK Hydrographic Office
,506479,UKHO ID,12096,UK Hydrographic Office
,506394,UKHO ID,12095,UK Hydrographic Office
,273114,UKHO ID,12093,UK Hydrographic Office
,273195,UKHO ID,12089,UK Hydrographic Office
,273200,UKHO ID,12088,UK Hydrographic Office
,274909,UKHO ID,12087,UK Hydrographic Office
,240302,UKHO ID,12086,UK Hydrographic Office
,506376,UKHO ID,12084,UK Hydrographic Office
,272607,UKHO ID,12083,UK Hydrographic Office
,518428,UKHO ID,12081,UK Hydrographic Office
,240281,UKHO ID,12080,UK Hydrographic Office
,273552,UKHO ID,12079,UK Hydrographic Office
,272569,UKHO ID,12078,UK Hydrographic Office
,506380,UKHO ID,12076,UK Hydrographic Office
,506379,UKHO ID,12075,UK Hydrographic Office
,506488,UKHO ID,12074,UK Hydrographic Office
,273212,UKHO ID,12073,UK Hydrographic Office
,273238,UKHO ID,12072,UK Hydrographic Office
,273253,UKHO ID,12066,UK Hydrographic Office
,273206,UKHO ID,12063,UK Hydrographic Office
,240728,UKHO ID,12062,UK Hydrographic Office
,273243,UKHO ID,12058,UK Hydrographic Office
,272842,UKHO ID,12056,UK Hydrographic Office
,273347,UKHO ID,12051,UK Hydrographic Office
,506472,UKHO ID,12048,UK Hydrographic Office
,273050,UKHO ID,12047,UK Hydrographic Office
,273005,UKHO ID,12046,UK Hydrographic Office
,272682,UKHO ID,12045,UK Hydrographic Office
,273247,UKHO ID,12040,UK Hydrographic Office
,240881,UKHO ID,12038,UK Hydrographic Office
,273239,UKHO ID,12037,UK Hydrographic Office
,518426,UKHO ID,12036,UK Hydrographic Office
,273250,UKHO ID,12035,UK Hydrographic Office
,273217,UKHO ID,12031,UK Hydrographic Office
,240880,UKHO ID,12030,UK Hydrographic Office
,273097,UKHO ID,12029,UK Hydrographic Office
,240254,UKHO ID,12028,UK Hydrographic Office
,240886,UKHO ID,12027,UK Hydrographic Office
,273406,UKHO ID,12026,UK Hydrographic Office
,273245,UKHO ID,12024,UK Hydrographic Office
,240256,UKHO ID,12023,UK Hydrographic Office
,273201,UKHO ID,12022,UK Hydrographic Office
,273244,UKHO ID,12016,UK Hydrographic Office
,506385,UKHO ID,12014,UK Hydrographic Office
,240258,UKHO ID,12013,UK Hydrographic Office
,272175,UKHO ID,12012,UK Hydrographic Office
,240884,UKHO ID,12011,UK Hydrographic Office
,273405,UKHO ID,12008,UK Hydrographic Office
,273165,UKHO ID,12007,UK Hydrographic Office
,506446,UKHO ID,12006,UK Hydrographic Office
,273248,UKHO ID,12005,UK Hydrographic Office
,273329,UKHO ID,12004,UK Hydrographic Office
,506490,UKHO ID,12001,UK Hydrographic Office
,506395,UKHO ID,11993,UK Hydrographic Office
,273218,UKHO ID,11992,UK Hydrographic Office
,273549,UKHO ID,11991,UK Hydrographic Office
,273180,UKHO ID,11990,UK Hydrographic Office
,273546,UKHO ID,11987,UK Hydrographic Office
,273231,UKHO ID,11985,UK Hydrographic Office
,273169,UKHO ID,11981,UK Hydrographic Office
,273235,UKHO ID,11977,UK Hydrographic Office
,506370,UKHO ID,11974,UK Hydrographic Office
,518432,UKHO ID,11973,UK Hydrographic Office
,240877,UKHO ID,11972,UK Hydrographic Office
,274844,UKHO ID,11968,UK Hydrographic Office
,273390,UKHO ID,11965,UK Hydrographic Office
,273233,UKHO ID,11961,UK Hydrographic Office
,273225,UKHO ID,11960,UK Hydrographic Office
,273252,UKHO ID,11959,UK Hydrographic Office
,240969,UKHO ID,11958,UK Hydrographic Office
,518436,UKHO ID,11957,UK Hydrographic Office
,272619,UKHO ID,11954,UK Hydrographic Office
,506434,UKHO ID,11953,UK Hydrographic Office
,240313,UKHO ID,11952,UK Hydrographic Office
,506435,UKHO ID,11951,UK Hydrographic Office
,273138,UKHO ID,11949,UK Hydrographic Office
,506372,UKHO ID,11944,UK Hydrographic Office
,506373,UKHO ID,11943,UK Hydrographic Office
,518433,UKHO ID,11938,UK Hydrographic Office
,518434,UKHO ID,11937,UK Hydrographic Office
,518431,UKHO ID,11934,UK Hydrographic Office
,274841,UKHO ID,11932,UK Hydrographic Office
,273216,UKHO ID,11931,UK Hydrographic Office
,518440,UKHO ID,11930,UK Hydrographic Office
,273163,UKHO ID,11926,UK Hydrographic Office
,518439,UKHO ID,11924,UK Hydrographic Office
,273224,UKHO ID,11923,UK Hydrographic Office
,518438,UKHO ID,11921,UK Hydrographic Office
,506390,UKHO ID,11919,UK Hydrographic Office
,274657,UKHO ID,11918,UK Hydrographic Office
,506388,UKHO ID,11917,UK Hydrographic Office
,518437,UKHO ID,11913,UK Hydrographic Office
,273166,UKHO ID,11910,UK Hydrographic Office
,516029,UKHO ID,11909,UK Hydrographic Office
,506387,UKHO ID,11908,UK Hydrographic Office
,506386,UKHO ID,11905,UK Hydrographic Office
,516032,UKHO ID,11902,UK Hydrographic Office
,506429,UKHO ID,11901,UK Hydrographic Office
,518402,UKHO ID,11900,UK Hydrographic Office
,518404,UKHO ID,11899,UK Hydrographic Office
,518403,UKHO ID,11897,UK Hydrographic Office
,516030,UKHO ID,11895,UK Hydrographic Office
,506431,UKHO ID,11892,UK Hydrographic Office
,506400,UKHO ID,11889,UK Hydrographic Office
,240874,UKHO ID,11888,UK Hydrographic Office
,519171,UKHO ID,11885,UK Hydrographic Office
,519058,UKHO ID,11884,UK Hydrographic Office
,516035,UKHO ID,11883,UK Hydrographic Office
,519173,UKHO ID,11877,UK Hydrographic Office
,544446,UKHO ID,11876,UK Hydrographic Office
,544417,UKHO ID,11819,UK Hydrographic Office
,516025,UKHO ID,11818,UK Hydrographic Office
,519177,UKHO ID,11811,UK Hydrographic Office
,516026,UKHO ID,11727,UK Hydrographic Office
,516024,UKHO ID,11696,UK Hydrographic Office
,519175,UKHO ID,11684,UK Hydrographic Office
,544407,UKHO ID,11676,UK Hydrographic Office
,544393,UKHO ID,11675,UK Hydrographic Office
,544397,UKHO ID,11674,UK Hydrographic Office
,544399,UKHO ID,11672,UK Hydrographic Office
,519186,UKHO ID,11670,UK Hydrographic Office
,544418,UKHO ID,11668,UK Hydrographic Office
,544406,UKHO ID,11666,UK Hydrographic Office
,544394,UKHO ID,11665,UK Hydrographic Office
,544420,UKHO ID,11664,UK Hydrographic Office
,544400,UKHO ID,11662,UK Hydrographic Office
,544423,UKHO ID,11659,UK Hydrographic Office
,544426,UKHO ID,11657,UK Hydrographic Office
,544421,UKHO ID,11656,UK Hydrographic Office
,544401,UKHO ID,11655,UK Hydrographic Office
,544416,UKHO ID,11654,UK Hydrographic Office
,544402,UKHO ID,11652,UK Hydrographic Office
,519189,UKHO ID,11651,UK Hydrographic Office
,544424,UKHO ID,11650,UK Hydrographic Office
,544427,UKHO ID,11649,UK Hydrographic Office
,544410,UKHO ID,11648,UK Hydrographic Office
,544428,UKHO ID,11646,UK Hydrographic Office
,544425,UKHO ID,11645,UK Hydrographic Office
,544413,UKHO ID,11643,UK Hydrographic Office
,519187,UKHO ID,11642,UK Hydrographic Office
,544429,UKHO ID,11641,UK Hydrographic Office
,544432,UKHO ID,11639,UK Hydrographic Office
,544403,UKHO ID,11638,UK Hydrographic Office
,507237,UKHO ID,10120,UK Hydrographic Office
,507236,UKHO ID,10118,UK Hydrographic Office
,272957,UKHO ID,10117,UK Hydrographic Office
,516152,UKHO ID,10116,UK Hydrographic Office
,516150,UKHO ID,10115,UK Hydrographic Office
,507066,UKHO ID,10112,UK Hydrographic Office
,271333,UKHO ID,10110,UK Hydrographic Office
,271585,UKHO ID,10109,UK Hydrographic Office
,271664,UKHO ID,10105,UK Hydrographic Office
,240673,UKHO ID,10104,UK Hydrographic Office
,507073,UKHO ID,10102,UK Hydrographic Office
,271352,UKHO ID,10100,UK Hydrographic Office
,506567,UKHO ID,10097,UK Hydrographic Office
,507076,UKHO ID,10096,UK Hydrographic Office
,507036,UKHO ID,10094,UK Hydrographic Office
,271662,UKHO ID,10088,UK Hydrographic Office
,507070,UKHO ID,10079,UK Hydrographic Office
,507081,UKHO ID,10078,UK Hydrographic Office
,506544,UKHO ID,10074,UK Hydrographic Office
,271605,UKHO ID,10072,UK Hydrographic Office
,240376,UKHO ID,10071,UK Hydrographic Office
,518393,UKHO ID,10070,UK Hydrographic Office
,1015,UKHO ID,10069,UK Hydrographic Office
,507005,UKHO ID,10068,UK Hydrographic Office
,506568,UKHO ID,10067,UK Hydrographic Office
,271658,UKHO ID,10064,UK Hydrographic Office
,516146,UKHO ID,10061,UK Hydrographic Office
,516147,UKHO ID,10058,UK Hydrographic Office
,516151,UKHO ID,10057,UK Hydrographic Office
,507233,UKHO ID,10056,UK Hydrographic Office
,273381,UKHO ID,10055,UK Hydrographic Office
,507232,UKHO ID,10053,UK Hydrographic Office
,272548,UKHO ID,10050,UK Hydrographic Office
,272622,UKHO ID,10047,UK Hydrographic Office
,273236,UKHO ID,10046,UK Hydrographic Office
,506525,UKHO ID,10039,UK Hydrographic Office
,516148,UKHO ID,10038,UK Hydrographic Office
,516118,UKHO ID,10037,UK Hydrographic Office
,507267,UKHO ID,10036,UK Hydrographic Office
,516145,UKHO ID,10035,UK Hydrographic Office
,516125,UKHO ID,10034,UK Hydrographic Office
,518391,UKHO ID,10033,UK Hydrographic Office
,516120,UKHO ID,10032,UK Hydrographic Office
,516153,UKHO ID,10031,UK Hydrographic Office
,507243,UKHO ID,10030,UK Hydrographic Office
,518409,UKHO ID,10028,UK Hydrographic Office
,518423,UKHO ID,10026,UK Hydrographic Office
