NUMLINK,ResourceID,NMRW_RCAHMW_Class,Possible_RCCLASS
6061987,43157,18E,Not Applicable
6061986,43158,18E,Not Applicable
6049608,43159,18E,Not Applicable
6061153,43160,18E,Not Applicable
6062866,43161,18E,Not Applicable
6061436,43162,18E,Not Applicable
6046315,43163,18E,Not Applicable
6045964,43165,18E,Not Applicable
6043447,43166,18E,Not Applicable
6016054,43167,18E,Not Applicable
6043219,43168,18E,Not Applicable
6033334,43169,18E,Not Applicable
6033333,43170,18E,Not Applicable
6046314,43171,18E,Not Applicable
6011989,43172,18E,Not Applicable
6011988,43173,18E,Not Applicable
6016053,43174,18E,Not Applicable
6033331,43175,18E,Not Applicable
6022810,43176,18E,Not Applicable
6042162,43177,18E,Not Applicable
6045112,43178,18E,Not Applicable
6036820,43179,18E,Not Applicable
6054280,43180,18F,Not Applicable
6050789,43181,10D,Not Applicable
6051092,43182,10D,Not Applicable
6051106,43183,10D,Not Applicable
6062923,43184,10D,Not Applicable
6051276,43185,10D,Not Applicable
6060062,43186,10D,Not Applicable
6043726,43187,10D,Not Applicable
6043728,43188,10D,Not Applicable
6049877,43189,10D,Not Applicable
6047207,43190,10D,Not Applicable
6047206,43191,10D,Not Applicable
6049478,43192,10D,Not Applicable
6060061,43193,10D,Not Applicable
6046451,43194,10D,Not Applicable
6050863,43195,10D,Not Applicable
6050188,43196,10D,Not Applicable
6049671,43197,10D,Not Applicable
6047607,43199,10D,Not Applicable
6062392,43200,10D,Not Applicable
6050975,43201,10D,Not Applicable
6062268,43202,10D,Not Applicable
6047205,43203,10D,Not Applicable
6061565,43204,10D,Not Applicable
6062496,43205,10D,Not Applicable
6049607,43206,10D,Not Applicable
6062123,43207,10D,Not Applicable
6050631,43208,10D,Not Applicable
6051167,43209,10D,Not Applicable
6050703,43210,10D,Not Applicable
6050134,43211,10D,Not Applicable
6050251,43212,10D,Not Applicable
6050250,43213,10D,Not Applicable
6061764,43214,10D,Not Applicable
6047923,43215,10D,Not Applicable
6062789,43216,10D,Not Applicable
6061152,43217,10D,Not Applicable
6060497,43218,10D,Not Applicable
6047922,43219,10D,Not Applicable
6047921,43220,10D,Not Applicable
6047920,43221,10D,Not Applicable
6051105,43222,10C,Not Applicable
6051105,43222,10F,Not Applicable
6049477,43223,10D,Not Applicable
6051104,43224,10D,Not Applicable
6050788,43225,10D,Not Applicable
6049901,43226,10D,Not Applicable
6050630,43227,10D,Not Applicable
6051275,43228,10D,Not Applicable
6051274,43229,10D,Not Applicable
6061351,43230,10D,Not Applicable
6050133,43231,10D,Not Applicable
6050132,43232,10D,Not Applicable
6050131,43233,10D,Not Applicable
6043506,43234,10D,Not Applicable
6047170,43235,10D,Not Applicable
6062852,43236,10D,Not Applicable
6062538,43237,10D,Not Applicable
6051072,43238,10D,Not Applicable
6062788,43239,10D,Not Applicable
6062787,43240,10D,Not Applicable
6050187,43241,10D,Not Applicable
6062267,43242,10D,Not Applicable
6062701,43243,10D,Not Applicable
6062700,43244,10D,Not Applicable
6062699,43245,10D,Not Applicable
6062698,43246,10D,Not Applicable
6049989,43247,10D,Not Applicable
6062266,43248,10D,Not Applicable
6050186,43249,10D,Not Applicable
6049900,43250,10D,Not Applicable
6050185,43251,10D,Not Applicable
6050911,43252,10D,Not Applicable
6050974,43253,10D,Not Applicable
6050629,43254,10D,Not Applicable
6062391,43255,10D,Not Applicable
6062697,43256,10D,Not Applicable
6049476,43257,10D,Not Applicable
6050742,43258,10D,Not Applicable
6049670,43259,10D,Not Applicable
6062265,43260,10D,Not Applicable
6062589,43261,10D,Not Applicable
6062696,43262,10D,Not Applicable
6062264,43263,10D,Not Applicable
6050249,43264,10D,Not Applicable
6049913,43265,10D,Not Applicable
6062053,43266,10D,Not Applicable
6049912,43267,10D,Not Applicable
6050004,43268,10D,Not Applicable
6062167,43269,10D,Not Applicable
6062166,43270,10D,Not Applicable
6062165,43271,10D,Not Applicable
6050248,43272,10E,Not Applicable
6050247,43273,10D,Not Applicable
6062122,43274,10D,Not Applicable
6062390,43275,10D,Not Applicable
6062389,43276,10D,Not Applicable
6062389,43276,8A,Not Applicable
6051071,43277,10D,Not Applicable
6050246,43278,10D,Not Applicable
6047606,43279,10D,Not Applicable
6047605,43280,10D,Not Applicable
6062388,43281,10D,Not Applicable
6050747,43282,10D,Not Applicable
6062121,43283,10D,Not Applicable
6050245,43284,10D,Not Applicable
6050184,43285,10D,Not Applicable
6049876,43286,10D,Not Applicable
6049669,43287,10D,Not Applicable
6049668,43288,10D,Not Applicable
6062695,43289,10D,Not Applicable
6050702,43290,10D,Not Applicable
6050701,43291,10D,Not Applicable
6047604,43292,10D,Not Applicable
6047603,43293,10D,Not Applicable
6051070,43294,10D,Not Applicable
6061435,43295,10D,Not Applicable
6061230,43296,10D,Not Applicable
6047204,43297,10D,Not Applicable
6062495,43298,10D,Not Applicable
6049875,43299,10D,Not Applicable
6061350,43300,10D,Not Applicable
6062630,43301,10D,Not Applicable
6051273,43302,10D,Not Applicable
6062922,43303,10D,Not Applicable
6062921,43304,10D,Not Applicable
6060496,43305,10D,Not Applicable
6049899,43306,10C,Not Applicable
6049899,43306,10D,Not Applicable
6050003,43308,10C,Not Applicable
6049606,43309,10C,Not Applicable
6050973,43310,10C,Not Applicable
6050183,43311,10C,Not Applicable
6050700,43312,10C,Not Applicable
6049667,43313,10C,Not Applicable
6049666,43314,10C,Not Applicable
6049665,43315,10C,Not Applicable
6049664,43316,10C,Not Applicable
6049663,43317,10C,Not Applicable
6049662,43318,10C,Not Applicable
6049661,43319,10C,Not Applicable
6050972,43320,10D,Not Applicable
6049660,43321,10D,Not Applicable
6049659,43322,10D,Not Applicable
6049658,43323,10D,Not Applicable
6049657,43324,10D,Not Applicable
6043503,43325,10D,Not Applicable
6049656,43326,10D,Not Applicable
6050002,43327,10D,Not Applicable
6050001,43328,10D,Not Applicable
6049605,43329,10D,Not Applicable
6050971,43330,10D,Not Applicable
6062537,43331,10D,Not Applicable
6062536,43332,10D,Not Applicable
6062694,43333,10D,Not Applicable
6062786,43334,10D,Not Applicable
6047169,43335,10D,Not Applicable
6050182,43336,10D,Not Applicable
6050244,43337,10D,Not Applicable
6050243,43338,10D,Not Applicable
6050257,43339,10D,Not Applicable
6050256,43340,10D,Not Applicable
6049874,43341,10D,Not Applicable
6049873,43342,10D,Not Applicable
6050827,43343,10D,Not Applicable
6061349,43344,10D,Not Applicable
6051103,43345,10D,Not Applicable
6061229,43346,10D,Not Applicable
6049604,43347,10D,Not Applicable
6049603,43348,10D,Not Applicable
6046988,43349,10D,Not Applicable
6050862,43350,10D,Not Applicable
6050628,43351,10D,Not Applicable
6047602,43352,10D,Not Applicable
6050121,43353,10D,Not Applicable
6062387,43354,10D,Not Applicable
6049655,43355,10D,Not Applicable
6061348,43356,10D,Not Applicable
6047977,43357,10D,Not Applicable
6049872,43358,10D,Not Applicable
6049475,43359,10D,Not Applicable
6062785,43361,10D,Not Applicable
6050826,43362,10D,Not Applicable
6062693,43363,10D,Not Applicable
6062692,43364,10D,Not Applicable
6050242,43365,10D,Not Applicable
6050861,43366,10D,Not Applicable
6050860,43367,10D,Not Applicable
6062920,43368,10D,Not Applicable
6049654,43369,10D,Not Applicable
6051091,43370,10D,Not Applicable
6051069,43371,10D,Not Applicable
6049897,43372,10D,Not Applicable
6050859,43373,10D,Not Applicable
6062691,43374,10D,Not Applicable
6061151,43375,10D,Not Applicable
6062120,43376,10D,Not Applicable
6050825,43377,10D,Not Applicable
6051090,43378,10D,Not Applicable
6051089,43379,10D,Not Applicable
6050926,43380,10D,Not Applicable
6062629,43381,10D,Not Applicable
6050241,43382,10D,Not Applicable
6050240,43383,10D,Not Applicable
6050239,43384,10D,Not Applicable
6049653,43385,10D,Not Applicable
6049652,43386,10D,Not Applicable
6051272,43387,10D,Not Applicable
6049474,43388,10D,Not Applicable
6051088,43389,10D,Not Applicable
6049651,43390,10D,Not Applicable
6050238,43391,10D,Not Applicable
6049602,43392,10C,Not Applicable
6049602,43392,10D,Not Applicable
6049650,43393,10D,Not Applicable
6046987,43394,10D,Not Applicable
6049601,43395,10D,Not Applicable
6050699,43396,10D,Not Applicable
6049888,43397,10D,Not Applicable
6050986,43398,10D,Not Applicable
6047601,43399,10D,Not Applicable
6047601,43399,12D,Not Applicable
6047975,43400,10D,Not Applicable
6047976,43401,10D,Not Applicable
6050627,43402,10D,Not Applicable
6049649,43403,10D,Not Applicable
6049648,43404,10D,Not Applicable
6061347,43405,10D,Not Applicable
6049647,43406,10D,Not Applicable
6050698,43407,10D,Not Applicable
6049988,43408,10D,Not Applicable
6062119,43409,10D,Not Applicable
6062386,43410,10D,Not Applicable
6049646,43411,10D,Not Applicable
6061790,43412,10D,Not Applicable
6043440,43413,10D,Not Applicable
6009982,43414,10D,Not Applicable
6038788,43415,10D,Not Applicable
6011071,43416,10D,Not Applicable
6038517,43417,10D,Not Applicable
6038789,43418,10D,Not Applicable
6045795,43419,10D,Not Applicable
6012127,43420,10D,Not Applicable
6010961,43421,10D,Not Applicable
6046313,43422,10D,Not Applicable
6015717,43423,10D,Not Applicable
6013624,43424,10D,Not Applicable
6013621,43425,10D,Not Applicable
6016333,43426,10D,Not Applicable
6033330,43427,10D,Not Applicable
6011836,43428,10D,Not Applicable
6013743,43429,10D,Not Applicable
6016573,43430,10D,Not Applicable
6033299,43431,10D,Not Applicable
6049272,43432,10D,Not Applicable
6013899,43433,10D,Not Applicable
6045797,43434,10D,Not Applicable
6013920,43435,10D,Not Applicable
6046311,43437,10D,Not Applicable
6016100,43438,10D,Not Applicable
6016210,43439,10D,Not Applicable
6013744,43440,10D,Not Applicable
6013741,43441,10D,Not Applicable
6016218,43442,10D,Not Applicable
6013921,43443,10D,Not Applicable
6034933,43444,10D,Not Applicable
6015718,43445,10D,Not Applicable
6015715,43446,10D,Not Applicable
6043298,43447,10D,Not Applicable
6038690,43448,10D,Not Applicable
6016571,43449,10D,Not Applicable
6049410,43450,10D,Not Applicable
6016211,43451,10D,Not Applicable
6016450,43452,10D,Not Applicable
6046310,43453,10D,Not Applicable
6013623,43455,10D,Not Applicable
6038566,43456,10D,Not Applicable
6038833,43457,10D,Not Applicable
6016052,43458,10D,Not Applicable
6038760,43459,10D,Not Applicable
6011916,43460,10D,Not Applicable
6011915,43461,10D,Not Applicable
6034958,43462,10D,Not Applicable
6022228,43463,10D,Not Applicable
6022227,43464,10D,Not Applicable
6046057,43465,10D,Not Applicable
6049275,43466,10D,Not Applicable
6016051,43467,10D,Not Applicable
6016212,43468,10D,Not Applicable
6013898,43469,10D,Not Applicable
6016217,43470,10D,Not Applicable
6016216,43471,10D,Not Applicable
6016215,43472,10D,Not Applicable
6016050,43474,10D,Not Applicable
6016049,43475,10D,Not Applicable
6016048,43476,10D,Not Applicable
6016047,43477,10D,Not Applicable
6016046,43478,10D,Not Applicable
6016045,43479,10D,Not Applicable
6016044,43481,10D,Not Applicable
6038834,43482,10D,Not Applicable
6016334,43483,10D,Not Applicable
6049273,43484,10D,Not Applicable
6043220,43485,10D,Not Applicable
6016043,43486,10D,Not Applicable
6049274,43487,10D,Not Applicable
6009956,43488,10D,Not Applicable
6033301,43489,10D,Not Applicable
6016101,43490,10D,Not Applicable
6010015,43491,10D,Not Applicable
6043439,43492,10D,Not Applicable
6016214,43493,10D,Not Applicable
6043210,43495,10D,Not Applicable
6015714,43496,10D,Not Applicable
6012137,43497,10D,Not Applicable
6016452,43498,10D,Not Applicable
6038791,43499,10D,Not Applicable
6016282,43500,10D,Not Applicable
6037875,43502,10D,Not Applicable
6037875,43502,10C,Not Applicable
6012136,43503,10D,Not Applicable
6043209,43504,10D,Not Applicable
6038518,43505,10D,Not Applicable
6038692,43506,10D,Not Applicable
6038691,43507,10D,Not Applicable
6038693,43508,10D,Not Applicable
6013740,43509,10D,Not Applicable
6007780,43510,10D,Not Applicable
6007782,43511,10D,Not Applicable
6010959,43512,10D,Not Applicable
6046308,43514,10D,Not Applicable
6045965,43515,10D,Not Applicable
6045968,43516,10D,Not Applicable
6045966,43517,10D,Not Applicable
6035008,43518,10C,Not Applicable
6033300,43519,10D,Not Applicable
6038790,43520,10C,Not Applicable
6016042,43521,10D,Not Applicable
6016102,43522,10D,Not Applicable
6016041,43523,10D,Not Applicable
6038835,43524,10D,Not Applicable
6045796,43525,10D,Not Applicable
6043372,43526,10D,Not Applicable
6016451,43527,10D,Not Applicable
6016449,43528,10D,Not Applicable
6016283,43529,10D,Not Applicable
6043438,43530,10D,Not Applicable
6016377,43531,10D,Not Applicable
6013897,43532,10D,Not Applicable
6013739,43533,10D,Not Applicable
6011888,43534,10D,Not Applicable
6016572,43535,10D,Not Applicable
6038608,43536,10D,Not Applicable
6043303,43537,10D,Not Applicable
6016213,43538,10D,Not Applicable
6045967,43539,10D,Not Applicable
6013622,43540,10D,Not Applicable
6016040,43541,10D,Not Applicable
6013896,43542,10D,Not Applicable
6043437,43543,10D,Not Applicable
6013738,43544,10D,Not Applicable
6001967,43545,8C,Not Applicable
6003206,43546,8E,Not Applicable
6001173,43547,4C,Not Applicable
6002171,43548,8C,Not Applicable
6001921,43549,8C,Not Applicable
6001800,43550,8C,Not Applicable
6002030,43551,8C,Not Applicable
6002833,43552,8C,Not Applicable
6003207,43553,8C,Not Applicable
6002831,43554,8C,Not Applicable
6001968,43555,8C,Not Applicable
6003429,43556,8C,Not Applicable
6001953,43557,8C,Not Applicable
6001905,43558,8C,Not Applicable
6003274,43559,4A,Not Applicable
6003274,43559,3A,Not Applicable
6003532,43560,8C,Not Applicable
6003352,43561,10C,Not Applicable
6000939,43562,8C,Not Applicable
6002170,43563,8C,Not Applicable
6001864,43564,8C,Not Applicable
6001858,43565,8C,Not Applicable
6000685,43566,8C,Not Applicable
6003229,43567,8C,Not Applicable
6003353,43568,8C,Not Applicable
6003354,43569,8C,Not Applicable
6000938,43570,8C,Not Applicable
6000688,43571,8C,Not Applicable
6001868,43572,8C,Not Applicable
6002036,43573,8C,Not Applicable
6001966,43574,8C,Not Applicable
6003291,43575,8C,Not Applicable
6007120,43576,8C,Not Applicable
6002035,43577,8C,Not Applicable
6004882,43579,8C,Not Applicable
6003411,43580,8C,Not Applicable
6007115,43581,8C,Not Applicable
6000937,43582,8C,Not Applicable
6003270,43583,8C,Not Applicable
6002015,43584,8C,Not Applicable
6003292,43585,8C,Not Applicable
6003484,43586,8C,Not Applicable
6003368,43587,8C,Not Applicable
6003531,43588,8C,Not Applicable
6002031,43589,5F,Not Applicable
6000936,43590,8C,Not Applicable
6000936,43590,10F,Not Applicable
6002175,43591,10C,Not Applicable
6003273,43592,7D,Not Applicable
6003052,43593,8C,Not Applicable
6001857,43594,8C,Not Applicable
6001799,43595,8C,Not Applicable
6002169,43596,8C,Not Applicable
6000686,43597,8C,Not Applicable
6002168,43599,8C,Not Applicable
6001866,43600,7D,Not Applicable
6003530,43601,8C,Not Applicable
6003370,43602,8C,Not Applicable
6003529,43603,8C,Not Applicable
6005310,43604,8C,Not Applicable
6003428,43605,8C,Not Applicable
6001797,43606,8C,Not Applicable
6003528,43607,8C,Not Applicable
6002853,43608,8C,Not Applicable
6007119,43609,8C,Not Applicable
6003483,43610,8C,Not Applicable
6003355,43611,8C,Not Applicable
6002034,43612,8C,Not Applicable
6002032,43613,8C,Not Applicable
6001920,43614,8C,Not Applicable
6001965,43615,8C,Not Applicable
6003527,43616,8C,Not Applicable
6003427,43617,8C,Not Applicable
6005240,43618,8C,Not Applicable
6007118,43619,8C,Not Applicable
6007117,43620,8C,Not Applicable
6005155,43621,8C,Not Applicable
6005358,43622,8C,Not Applicable
6000687,43623,8C,Not Applicable
6002176,43624,8C,Not Applicable
6001919,43625,8C,Not Applicable
6001954,43626,8C,Not Applicable
6001798,43627,8C,Not Applicable
6003271,43628,8C,Not Applicable
6001867,43629,8C,Not Applicable
6003272,43630,8C,Not Applicable
6005339,43631,8C,Not Applicable
6000689,43633,8C,Not Applicable
6003356,43634,8C,Not Applicable
6001856,43635,8C,Not Applicable
6002033,43636,8C,Not Applicable
6002832,43637,8C,Not Applicable
6002167,43638,8C,Not Applicable
6002166,43639,8C,Not Applicable
6002165,43640,8C,Not Applicable
6004958,43641,8C,Not Applicable
6001963,43642,8C,Not Applicable
6004883,43643,8C,Not Applicable
6000935,43644,8C,Not Applicable
6005143,43645,8C,Not Applicable
6002854,43646,8C,Not Applicable
6001855,43647,8C,Not Applicable
6003228,43648,8C,Not Applicable
6003369,43649,8C,Not Applicable
6005154,43650,8C,Not Applicable
6001865,43651,8C,Not Applicable
6000690,43652,8C,Not Applicable
6009259,43653,8C,Not Applicable
6000236,43654,8C,Not Applicable
6008716,43655,8C,Not Applicable
6002506,43658,8C,Not Applicable
6002506,43658,8F,Not Applicable
6005144,43659,8C,Not Applicable
6000562,43660,8C,Not Applicable
6004748,43663,8C,Not Applicable
6006998,43664,8C,Not Applicable
6007330,43665,8C,Not Applicable
6002754,43666,8C,Not Applicable
6009001,43667,8F,Not Applicable
6000415,43668,10D,Not Applicable
6000238,43669,7C,Not Applicable
6005153,43670,8C,Not Applicable
6009664,43672,8C,Not Applicable
6009675,43673,8C,Not Applicable
6001427,43674,8C,Not Applicable
6009674,43675,8C,Not Applicable
6000405,43676,8C,Not Applicable
6005145,43677,8C,Not Applicable
6009673,43679,8C,Not Applicable
6009665,43680,8C,Not Applicable
6010884,43681,8C,Not Applicable
6007451,43682,8C,Not Applicable
6004696,43683,8C,Not Applicable
6004696,43683,10C,Not Applicable
6003051,43684,8C,Not Applicable
6001671,43685,8C,Not Applicable
6009254,43687,8C,Not Applicable
6007003,43688,8C,Not Applicable
6003929,43689,8C,Not Applicable
6003053,43690,8C,Not Applicable
6009253,43691,8C,Not Applicable
6009252,43692,8C,Not Applicable
6009251,43693,8C,Not Applicable
6009250,43694,8C,Not Applicable
6002400,43695,8C,Not Applicable
6000563,43696,8C,Not Applicable
6009672,43697,8C,Not Applicable
6004391,43698,8C,Not Applicable
6002402,43699,8C,Not Applicable
6002401,43700,8C,Not Applicable
6004393,43701,8C,Not Applicable
6001696,43702,8C,Not Applicable
6001348,43703,8C,Not Applicable
6007329,43704,8C,Not Applicable
6001356,43705,8C,Not Applicable
6001349,43707,8C,Not Applicable
6004590,43708,8C,Not Applicable
6000503,43709,8C,Not Applicable
6009461,43710,8C,Not Applicable
6009462,43711,8C,Not Applicable
6006999,43712,8C,Not Applicable
6008732,43713,8C,Not Applicable
6008733,43714,8C,Not Applicable
6010695,43715,8C,Not Applicable
6001672,43716,8C,Not Applicable
6002521,43717,8C,Not Applicable
6000552,43718,8C,Not Applicable
6003930,43719,8C,Not Applicable
6004032,43720,8C,Not Applicable
6001428,43721,8C,Not Applicable
6005152,43722,8C,Not Applicable
6003059,43723,8C,Not Applicable
6009306,43724,8C,Not Applicable
6001693,43725,8C,Not Applicable
6004702,43726,8C,Not Applicable
6005146,43727,8C,Not Applicable
6004029,43728,8C,Not Applicable
6001352,43729,8C,Not Applicable
6000504,43730,8C,Not Applicable
6008795,43731,8C,Not Applicable
6004587,43732,8C,Not Applicable
6004858,43734,8C,Not Applicable
6002295,43735,8C,Not Applicable
6004497,43736,8C,Not Applicable
6009671,43737,8C,Not Applicable
6009670,43738,11E,Not Applicable
6004589,43739,6E,Not Applicable
6001580,43740,8C,Not Applicable
6000406,43741,8C,Not Applicable
6008796,43742,8C,Not Applicable
6009305,43743,8C,Not Applicable
6000632,43745,8C,Not Applicable
6000564,43746,8C,Not Applicable
6004747,43747,8C,Not Applicable
6009669,43748,8C,Not Applicable
6000239,43749,8C,Not Applicable
6000565,43750,8C,Not Applicable
6005151,43751,8C,Not Applicable
6001673,43752,8C,Not Applicable
6001217,43753,8C,Not Applicable
6008734,43754,8C,Not Applicable
6003931,43755,8C,Not Applicable
6002753,43756,8C,Not Applicable
6002290,43757,8C,Not Applicable
6004498,43758,8C,Not Applicable
6007002,43759,8C,Not Applicable
6007000,43760,8C,Not Applicable
6000272,43761,8C,Not Applicable
6003697,43762,8C,Not Applicable
6004127,43763,8C,Not Applicable
6004127,43763,8B,Not Applicable
6008715,43764,8C,Not Applicable
6000357,43765,8C,Not Applicable
6000633,43766,8C,Not Applicable
6009460,43767,8C,Not Applicable
6009249,43768,8C,Not Applicable
6009249,43768,8B,Not Applicable
6009248,43769,8C,Not Applicable
6009247,43770,8C,Not Applicable
6009246,43771,8C,Not Applicable
6009258,43772,8C,Not Applicable
6009257,43773,8C,Not Applicable
6009256,43774,8C,Not Applicable
6009255,43775,8C,Not Applicable
6004392,43776,8C,Not Applicable
6008886,43777,8C,Not Applicable
6003054,43778,8C,Not Applicable
6004588,43779,8C,Not Applicable
6009668,43781,8C,Not Applicable
6003058,43782,8C,Not Applicable
6004701,43784,8C,Not Applicable
6004697,43785,8C,Not Applicable
6008887,43786,8C,Not Applicable
6001695,43787,8C,Not Applicable
6004261,43788,8C,Not Applicable
6004263,43789,8C,Not Applicable
6009004,43790,8C,Not Applicable
6000635,43791,8C,Not Applicable
6008797,43792,8C,Not Applicable
6000358,43793,8C,Not Applicable
6001429,43794,8C,Not Applicable
6004394,43795,8C,Not Applicable
6004030,43796,8C,Not Applicable
6004857,43797,8C,Not Applicable
6000416,43798,8C,Not Applicable
6004440,43799,8C,Not Applicable
6009667,43800,8C,Not Applicable
6003055,43801,8C,Not Applicable
6001430,43802,8C,Not Applicable
6006844,43803,8C,Not Applicable
6001351,43804,8C,Not Applicable
6005150,43805,8C,Not Applicable
6008888,43806,8C,Not Applicable
6001694,43808,8C,Not Applicable
6009002,43809,8C,Not Applicable
6009304,43810,8C,Not Applicable
6007453,43811,8C,Not Applicable
6004700,43812,8C,Not Applicable
6002632,43813,8C,Not Applicable
6009666,43814,8C,Not Applicable
6000505,43815,8C,Not Applicable
6008786,43816,8C,Not Applicable
6007328,43817,8C,Not Applicable
6004262,43819,8C,Not Applicable
6000636,43820,8C,Not Applicable
6004698,43821,8C,Not Applicable
6001350,43823,8C,Not Applicable
6010147,43825,8C,Not Applicable
6005421,43826,8C,Not Applicable
6012385,43827,8C,Not Applicable
6011198,43828,8C,Not Applicable
6008336,43829,8C,Not Applicable
6011133,43830,8C,Not Applicable
6012567,43831,8C,Not Applicable
6011197,43832,8C,Not Applicable
6006453,43833,8C,Not Applicable
6010293,43834,8C,Not Applicable
6010258,43835,8C,Not Applicable
6011400,43836,8C,Not Applicable
6010151,43837,8C,Not Applicable
6005420,43838,8C,Not Applicable
6005487,43839,8C,Not Applicable
6012308,43840,8C,Not Applicable
6006321,43841,8C,Not Applicable
6006452,43842,8C,Not Applicable
6011132,43843,8C,Not Applicable
6003594,43844,8C,Not Applicable
6008122,43845,8C,Not Applicable
6005419,43846,8C,Not Applicable
6006764,43847,11C,Not Applicable
6003593,43848,8C,Not Applicable
6010260,43849,8C,Not Applicable
6012494,43850,8C,Not Applicable
6006531,43851,8C,Not Applicable
6010245,43852,2B,Not Applicable
6003704,43854,8C,Not Applicable
6012384,43855,8F,Not Applicable
6012384,43855,8C,Not Applicable
6005546,43856,8C,Not Applicable
6012315,43857,8C,Not Applicable
6011265,43858,8C,Not Applicable
6003686,43859,8C,Not Applicable
6006763,43860,8C,Not Applicable
6003657,43861,8C,Not Applicable
6006762,43862,8C,Not Applicable
6005940,43863,8C,Not Applicable
6003592,43864,8C,Not Applicable
6011264,43865,8C,Not Applicable
6005814,43866,8C,Not Applicable
6011196,43868,8C,Not Applicable
6010259,43869,8C,Not Applicable
6011131,43870,8C,Not Applicable
6011130,43871,8C,Not Applicable
6003845,43872,8C,Not Applicable
6003844,43873,8C,Not Applicable
6014395,43875,8C,Not Applicable
6007877,43876,8C,Not Applicable
6012493,43877,8C,Not Applicable
6005813,43878,8C,Not Applicable
6012383,43879,8C,Not Applicable
6008121,43880,8C,Not Applicable
6008215,43881,8C,Not Applicable
6012382,43882,8C,Not Applicable
6007828,43883,8C,Not Applicable
6008421,43884,8C,Not Applicable
6012356,43885,8C,Not Applicable
6003703,43887,8C,Not Applicable
6007876,43888,8C,Not Applicable
6003591,43889,8C,Not Applicable
6003590,43890,8C,Not Applicable
6005538,43891,8C,Not Applicable
6006698,43892,8C,Not Applicable
6005418,43893,8C,Not Applicable
6003932,43894,8C,Not Applicable
6008120,43895,8C,Not Applicable
6031122,43896,8C,Not Applicable
6003702,43897,8C,Not Applicable
6005545,43899,8C,Not Applicable
6005544,43900,8C,Not Applicable
6003701,43901,8C,Not Applicable
6004074,43902,8C,Not Applicable
6006451,43903,8C,Not Applicable
6012238,43904,8C,Not Applicable
6006697,43905,8C,Not Applicable
6011019,43906,8C,Not Applicable
6010071,43907,8C,Not Applicable
6062263,45003,10C,Not Applicable
6049887,45004,10C,Not Applicable
6050019,45005,10C,Not Applicable
6049886,45006,10C,Not Applicable
6061434,45007,10C,Not Applicable
6062588,45008,10C,Not Applicable
6062587,45009,10C,Not Applicable
6062690,45010,10C,Not Applicable
6047600,45012,10C,Not Applicable
6051271,45013,10C,Not Applicable
6051005,45014,10C,Not Applicable
6051270,45015,10C,Not Applicable
6061985,45016,10C,Not Applicable
6050120,45017,10F,Not Applicable
6050120,45017,10C,Not Applicable
6062385,45018,10C,Not Applicable
6047599,45019,10C,Not Applicable
6050858,45020,10C,Not Applicable
6047305,45021,10C,Not Applicable
6061765,45022,10C,Not Applicable
6050697,45024,10C,Not Applicable
6062919,45025,10C,Not Applicable
6062689,45026,10C,Not Applicable
6051068,45027,10C,Not Applicable
6049617,45028,10C,Not Applicable
6051166,45029,10C,Not Applicable
6046986,45030,10C,Not Applicable
6051087,45031,10C,Not Applicable
6051087,45031,10F,Not Applicable
6044001,45032,10C,Not Applicable
6050119,45033,10C,Not Applicable
6050118,45034,10C,Not Applicable
6050117,45035,10C,Not Applicable
6050195,45036,10C,Not Applicable
6062262,45037,10D,Not Applicable
6062262,45037,10C,Not Applicable
6062261,45038,10C,Not Applicable
6049645,45039,10C,Not Applicable
6050194,45040,10C,Not Applicable
6062384,45041,10C,Not Applicable
6062135,45042,10C,Not Applicable
6062688,45043,10C,Not Applicable
6050193,45044,10C,Not Applicable
6050696,45045,10C,Not Applicable
6050237,45048,10C,Not Applicable
6062134,45049,10C,Not Applicable
6049911,45051,10C,Not Applicable
6050857,45052,10C,Not Applicable
6051269,45053,10C,Not Applicable
6062586,45054,10C,Not Applicable
6061433,45056,10C,Not Applicable
6061432,45057,10C,Not Applicable
6062052,45058,10C,Not Applicable
6050018,45059,10C,Not Applicable
6049910,45060,10C,Not Applicable
6049885,45061,10C,Not Applicable
6051268,45062,10C,Not Applicable
6049644,45064,10C,Not Applicable
6049643,45065,10C,Not Applicable
6043736,45066,10C,Not Applicable
6061460,45067,10C,Not Applicable
6062164,45068,10C,Not Applicable
6049987,45069,10C,Not Applicable
6062163,45070,10C,Not Applicable
6051165,45071,10C,Not Applicable
6049616,45072,10C,Not Applicable
6050743,45073,10C,Not Applicable
6050017,45074,10C,Not Applicable
6062383,45076,10C,Not Applicable
6050116,45077,10C,Not Applicable
6050115,45078,10C,Not Applicable
6050824,45079,10C,Not Applicable
6050114,45080,10C,Not Applicable
6050787,45081,10C,Not Applicable
6062133,45082,10C,Not Applicable
6050786,45083,10C,Not Applicable
6049615,45084,10C,Not Applicable
6049614,45085,10C,Not Applicable
6050746,45086,10C,Not Applicable
6061346,45087,10C,Not Applicable
6062382,45088,10C,Not Applicable
6062381,45089,8B,Not Applicable
6062381,45089,10C,Not Applicable
6051067,45090,10C,Not Applicable
6047919,45091,8B,Not Applicable
6047919,45091,10C,Not Applicable
6050016,45092,10C,Not Applicable
6050015,45093,10C,Not Applicable
6049613,45095,10C,Not Applicable
6047598,45096,10C,Not Applicable
6049473,45097,10C,Not Applicable
6061778,45098,10C,Not Applicable
