NUMLINK,ResourceID,NMRW_Name,Name_Type
710212,710212,Rhymney Gas Works,No preference
710213,710213,Rhos Gas Works,No preference
710214,710214,Rhyl Gas Works,No preference
710215,710215,Risca Gas Works,No preference
710216,710216,Ruabon Gas Works,No preference
710217,710217,St. Asaph Gas Works,No preference
710218,710218,St.Davids Gas Works,No preference
710219,710219,Dyfatty Gas Works,No preference
710220,710220,Morriston Gas Works,No preference
710221,710221,Taffs Well Gas Works,No preference
710222,710222,Tenby Gas Works,No preference
710223,710223,Towyn and Aberdovey Gas Works,No preference
710224,710224,Tonypandy Gas Holder Station,No preference
710225,710225,Trecastle Gas Works,No preference
710226,710226,Treorchy Gas Holder Station,No preference
710227,710227,Usk Gas Works,No preference
710228,710228,Welshpool Gas Works,No preference
710229,710229,Whitland Gas Works,No preference
710230,710230,Wrexham Gas Works,No preference
710231,710231,Maelor Gas Works,No preference
710232,710232,Ystalyfera Gas Works,No preference
710233,710233,"Iron and Tin Plate Works Gas Works, Bridge Street, Abercarn",No preference
710234,710234,Lletty Shinkin Colliery Gas Works,No preference
710235,710235,"Gas Works at Aberdulais Tin Works, Neath",No preference
710236,710236,Abersychan Iron Company Gas Works,No preference
710237,710237,"Gas Works at Pembrey Copper Works, Burry Port",No preference
710238,710238,"Gas Works at Pen-y-Bont Brick and Tile Works, Cefn-Mawr",No preference
710239,710239,Gas Plant at Samuel Baldwyn Rogers Bookshop,No preference
710240,710240,"Gas Works at Dafen Iron and Tin Plate Works, Church Street, Dafen",No preference
710241,710241,"Gas Works at South Wales Works, Machynys, Llanelli",No preference
710242,710242,"Gas Works at the Iron Works, Ann Street, Wern, Llanelli",No preference
710243,710243,"Gas Works at Llan-Elay House, Llanelay Road, Talbot Road, Llantrisant",No preference
710244,710244,"Gas Works at Middle Duffryn Colliery, Cwmbach.",No preference
710245,710245,"Gas Works at Samuel & James Knight Cotton Mill,Denbigh Road, Mold",No preference
710246,710246,"Gas Works at Melyn  Works, Melyn  Crythan, Neath",No preference
710247,710247,"Gas Works at Vale of Neath Brewery, Maes Yr Hafod, Caewern, Blaenhonddan, Neath",No preference
710248,710248,"Railway Gas Works t Aylesbury Street, Mendalgief, Newport",No preference
710249,710249,North Wales Counties Lunatic Asylum Gas Works,No preference
710250,710250,"Gas Works at Wire works, Oakfield Wire works,  Near Newport",No preference
710251,710251,"Gas Works at Hendy (Tin) Works, Hendy Pont-ar-dulais",No preference
710252,710252,"Gas Works at Glamorgan (Tin Plate) Works, Pont-ar-dulais",No preference
710253,710253,"Gas Works at Ponty moil, Pontypool",No preference
710254,710254,Gas Holder at British Iron & Steel Co. Ltd,No preference
710255,710255,"Gas Works at Risca, Newport,     Cross & Matthews Brewery.",No preference
710256,710256,"Gas Works at Ty-Du Tin Works, Cefn, Rogerstone",No preference
710257,710257,"Gas Works at Treborth Hall,Treborth Road, Bangor.",No preference
710258,710258,"Gas Works at Candle Works,  River Lane, Saltney, Flintshire",No preference
710259,710259,"Gas Works at Bone Manure Works, River Lane, Saltney, Flintshire",No preference
710260,710260,"Gas Works at St. Davids Oil Works, River Lane, Saltney, Flintshire",No preference
710261,710261,"Gas Works at Port Tennant (Copper) Works, Port Tennant, Swansea",No preference
710262,710262,"Gas Works at Swansea Iron Shipbuilding Company, Swansea.",No preference
710263,710263,"Gas Works at Swansea Tin Plate Works, Heol-y-Goors, Cwmdu, Swansea",No preference
710264,710264,"Gas Works at Landore (Tin plate) Works, Landore Swansea.",No preference
710265,710265,"Gas Works at Varteg colliery, Varteg, Pontypool.",No preference
710266,710266,"Gasometer at Roath Docks, Cardiff",No preference
710267,710267,Langland Bay Hotel Gas Works,No preference
710268,710268,Cwm-felin Tin Plate Works Gas Works,No preference
710269,710269,Gas Works at Swansea Wagon Works,No preference
710270,710270,Aberavon Gas Works II,No preference
710271,710271,Port Talbot Steelworks Gas Holder,No preference
710272,710272,Pwll y Moor Gas Holder,No preference
710273,710273,Angleton County Asylum Gas Works,No preference
710274,710274,Pontycymer Gas Works,No preference
710275,710275,Penllwyngwent Colliery Gas Holder,No preference
710276,710276,Llwydarth Tin Plate Works Gas Works,No preference
710277,710277,Morfa Colliery Gas Works,No preference
710278,710278,Cymmer Gasometer,No preference
710279,710279,Blaen y cwm Gasometer,No preference
710280,710280,Pontardawe Gasometer,No preference
710281,710281,Landore Siemens Works Gas Holder,No preference
710282,710282,Penclawdd Tin Plate Works Gas Holder,No preference
710283,710283,Milford Haven Gas Works II,No preference
710284,710284,Holyhead Rail Yard Gas Works,No preference
710285,710285,George Hotel Gas Holder,No preference
710286,710286,Gorphwysfa Gas Holder,No preference
710287,710287,Barmouth Gas Works II,No preference
710288,710288,Barmouth Gas Works I,No preference
710289,710289,"Gas Holder Station Victoria Avenue, Llanidloes",No preference
710290,710290,"Gas Holder at the Coke Ovens and By-Products Plant, Ebbw Vale",No preference
710291,710291,"Gas Holder at Hughes Avenue, Willowtown, Gwent",No preference
710292,710292,Beaufort Gas Works,No preference
710293,710293,"Former ICI works, Pant Industrial Estate Gas Holder",No preference
710294,710294,St Beuno's Roman Catholic College Gas Holder,No preference
710295,710295,Rhiw-goch Blue Slab Quarry Gas Holder,No preference
710296,710296,Mostyn Colliery-Mostyn Quay Gas Holder,No preference
710297,710297,Merllyn Lead Works Gas Holder,No preference
710298,710298,Broughton Colliery Gas Holder,No preference
710299,710299,Stoneleigh Gas Holder,No preference
710300,710300,Cam-yr-Alyn Gas Holder,No preference
710301,710301,Gas Holder at Sandycroft Foundry and Engine Works,No preference
710302,710302,Dee Oil Works Gas Holder,No preference
710303,710303,Rhosllanerchrugog Gas Works,No preference
710304,710304,Pontrhydyryn Tin Plate Works Gas Holder,No preference
710305,710305,Risca Black Vein Colliery Gas Holder,No preference
710306,710306,Risca Black Vein Colliery Gas Holder,No preference
710307,710307,"Wern House, Waun Wern Gas Holder",No preference
710308,710308,"Oil Gas Works, Cardiff Sidings",No preference
710309,710309,Gwaun-tre-Oda Engineering Works Gas Holder,No preference
710310,710310,Tre-fforest Tin Plate Works Gas Holder,No preference
710311,710311,Nantgarw Coal By Products Works Gas Holder,No preference
710312,710312,"Gas Works, Pen y Gawsi",No preference
710313,710313,Cathays Rail Yard Gas Holder,No preference
710314,710314,East Moors Works (Iron & Steel) Gas Holder,No preference
710315,710315,Garth Works (Iron & Tinplate) Gas Holder,No preference
710316,710316,Margam Steel Works Gas Holder,No preference
710317,710317,Gas Holder at the Northern Steel Working Site at Abbey Steel Works,No preference
710318,710318,Northern Site Gas Holder at Abbey Steel Works,No preference
710319,710319,Coke Ovens Gas Holder at Abbey Steel Works Southern Site,No preference
710320,710320,"Wiggins Gas Holder, at the Southern Abbey Steel Works Site",No preference
