ResourceID,External_Identifier_Type,NMRW_External_Xref,External_Source,ResourceID
0f71e1d9-43c0-49a0-875d-3bcfe9d6a4c0,UKHO ID,7360,UK Hydrographic Office,0f71e1d9-43c0-49a0-875d-3bcfe9d6a4c0
0f8335de-624d-4df9-8189-43abb42cce8f,UKHO ID,11643,UK Hydrographic Office,0f8335de-624d-4df9-8189-43abb42cce8f
101c3eb8-f9d3-4833-bc8d-183b1ef88486,UKHO ID,10116,UK Hydrographic Office,101c3eb8-f9d3-4833-bc8d-183b1ef88486
10676bfc-ff0a-4848-9a4e-93106eb80c45,UKHO ID,7153,UK Hydrographic Office,10676bfc-ff0a-4848-9a4e-93106eb80c45
10983eaa-80f4-44d9-969a-6726f0447256,UKHO ID,8155,UK Hydrographic Office,10983eaa-80f4-44d9-969a-6726f0447256
10ee8f29-7478-4423-88fe-b50a9d1c0e6a,UKHO ID,12139,UK Hydrographic Office,10ee8f29-7478-4423-88fe-b50a9d1c0e6a
11175d55-5f62-4a5c-a086-a65e9efce6d1,UKHO ID,10105,UK Hydrographic Office,11175d55-5f62-4a5c-a086-a65e9efce6d1
115ef95c-a0ce-4a9f-b6c7-c45c65eff34d,UKHO ID,12587,UK Hydrographic Office,115ef95c-a0ce-4a9f-b6c7-c45c65eff34d
11ac638b-cb9a-4918-bef9-2443b3ac3c28,UKHO ID,8231,UK Hydrographic Office,11ac638b-cb9a-4918-bef9-2443b3ac3c28
1240f262-b5e8-4546-9b38-d7e1153efc55,UKHO ID,12074,UK Hydrographic Office,1240f262-b5e8-4546-9b38-d7e1153efc55
1270595e-ba16-4304-a23d-c849da1713fb,UKHO ID,7347,UK Hydrographic Office,1270595e-ba16-4304-a23d-c849da1713fb
12b7f0c8-91bc-4c0a-b22a-a5ab3eed51a6,UKHO ID,10102,UK Hydrographic Office,12b7f0c8-91bc-4c0a-b22a-a5ab3eed51a6
12f14529-2b73-4908-b0ae-88c2f7b7859b,UKHO ID,9932,UK Hydrographic Office,12f14529-2b73-4908-b0ae-88c2f7b7859b
13011bca-2cdf-48ba-8b46-9c4158ccd1f9,UKHO ID,12453,UK Hydrographic Office,13011bca-2cdf-48ba-8b46-9c4158ccd1f9
1344aa6e-e37a-4c70-b175-c5879166bab1,UKHO ID,58682,UK Hydrographic Office,1344aa6e-e37a-4c70-b175-c5879166bab1
14014d3c-8042-4c58-bcf3-47bafd8310fc,UKHO ID,11674,UK Hydrographic Office,14014d3c-8042-4c58-bcf3-47bafd8310fc
143d8c12-2d5b-42d3-a39b-c2b5bcfe84b9,UKHO ID,7353,UK Hydrographic Office,143d8c12-2d5b-42d3-a39b-c2b5bcfe84b9
147de7df-51c2-4db8-af83-3759d3c8a62b,UKHO ID,11897,UK Hydrographic Office,147de7df-51c2-4db8-af83-3759d3c8a62b
14f31933-e93b-478e-8614-559442797781,UKHO ID,62448,UK Hydrographic Office,14f31933-e93b-478e-8614-559442797781
151472a6-32c1-4c5a-ab67-4e7e57144c43,UKHO ID,10007,UK Hydrographic Office,151472a6-32c1-4c5a-ab67-4e7e57144c43
157d1f49-0949-4086-ac54-c1ea6a5f344a,UKHO ID,10008,UK Hydrographic Office,157d1f49-0949-4086-ac54-c1ea6a5f344a
15b94de4-4937-4748-9433-4316228b1a8d,UKHO ID,10100,UK Hydrographic Office,15b94de4-4937-4748-9433-4316228b1a8d
15de158a-ccc1-48e9-ad7e-a14fbe50f34e,UKHO ID,8157,UK Hydrographic Office,15de158a-ccc1-48e9-ad7e-a14fbe50f34e
