ResourceID,Description,Description_Type,ResourceID
09be2746-5c89-4b5c-b8a8-9a82fe425fe8#,"Located W of A4119, N of Talbot Green. Opened in 1999",English Description,09be2746-5c89-4b5c-b8a8-9a82fe425fe8#
